,date,state,area,year
138,2011-01-01,Sarawak,,2011
139,2011-01-01,Selangor,250129.0,2011
140,2011-01-01,Terengganu,539234.0,2011
141,2011-01-01,Kuala Lumpur,63.0,2011
142,2011-01-01,Labuan,0.0,2011
143,2011-01-01,Putrajaya,0.0,2011
144,2012-01-01,Johor,432208.0,2012
145,2012-01-01,Kedah,325463.0,2012
146,2012-01-01,Kelantan,623849.0,2012
147,2012-01-01,Melaka,5151.0,2012
148,2012-01-01,Negeri Sembilan,154578.0,2012
149,2012-01-01,Pahang,1562902.0,2012
150,2012-01-01,Perak,983136.0,2012
151,2012-01-01,Perlis,10799.0,2012
152,2012-01-01,Pulau Pinang,6098.0,2012
153,2012-01-01,Sabah,3609249.0,2012
154,2012-01-01,Sarawak,4337164.0,2012
155,2012-01-01,Selangor,250129.0,2012
156,2012-01-01,Terengganu,539232.0,2012
157,2012-01-01,Kuala Lumpur,68.0,2012
158,2012-01-01,Labuan,0.0,2012
159,2012-01-01,Putrajaya,0.0,2012
160,2013-01-01,Johor,432209.0,2013
161,2013-01-01,Kedah,341976.0,2013
162,2013-01-01,Kelantan,623849.0,2013
163,2013-01-01,Melaka,5151.0,2013
164,2013-01-01,Negeri Sembilan,154676.0,2013
165,2013-01-01,Pahang,1562902.0,2013
166,2013-01-01,Perak,1003616.0,2013
167,2013-01-01,Perlis,10799.0,2013
168,2013-01-01,Pulau Pinang,6060.0,2013
169,2013-01-01,Sabah,3614730.0,2013
170,2013-01-01,Sarawak,4368066.0,2013
171,2013-01-01,Selangor,250129.0,2013
172,2013-01-01,Terengganu,544855.0,2013
173,2013-01-01,Kuala Lumpur,68.0,2013
174,2013-01-01,Labuan,0.0,2013
175,2013-01-01,Putrajaya,0.0,2013
176,2014-01-01,Johor,432184.0,2014
177,2014-01-01,Kedah,341976.0,2014
178,2014-01-01,Kelantan,623849.0,2014
179,2014-01-01,Melaka,5093.0,2014
180,2014-01-01,Negeri Sembilan,155825.0,2014
181,2014-01-01,Pahang,1562900.0,2014
182,2014-01-01,Perak,999967.0,2014
183,2014-01-01,Perlis,10799.0,2014
184,2014-01-01,Pulau Pinang,6060.0,2014
185,2014-01-01,Sabah,3615066.0,2014
186,2014-01-01,Sarawak,4352828.0,2014
187,2014-01-01,Selangor,250129.0,2014
188,2014-01-01,Terengganu,544937.0,2014
189,2014-01-01,Kuala Lumpur,68.0,2014
190,2014-01-01,Labuan,0.0,2014
191,2014-01-01,Putrajaya,0.0,2014
192,2015-01-01,Johor,414637.0,2015
193,2015-01-01,Kedah,341976.0,2015
194,2015-01-01,Kelantan,623849.0,2015
195,2015-01-01,Melaka,5104.0,2015
196,2015-01-01,Negeri Sembilan,155708.0,2015
197,2015-01-01,Pahang,1563993.0,2015
198,2015-01-01,Perak,999488.0,2015
199,2015-01-01,Perlis,10799.0,2015
200,2015-01-01,Pulau Pinang,6060.0,2015
201,2015-01-01,Sabah,3551247.0,2015
202,2015-01-01,Sarawak,4320302.0,2015
203,2015-01-01,Selangor,250129.0,2015
204,2015-01-01,Terengganu,544937.0,2015
205,2015-01-01,Kuala Lumpur,68.0,2015
206,2015-01-01,Labuan,0.0,2015
207,2015-01-01,Putrajaya,0.0,2015
208,2016-01-01,Johor,414628.0,2016
209,2016-01-01,Kedah,341976.0,2016
210,2016-01-01,Kelantan,635437.0,2016
211,2016-01-01,Melaka,5137.0,2016
212,2016-01-01,Negeri Sembilan,155650.0,2016
213,2016-01-01,Pahang,1559913.0,2016
214,2016-01-01,Perak,999473.0,2016
215,2016-01-01,Perlis,10799.0,2016
216,2016-01-01,Pulau Pinang,6060.0,2016
217,2016-01-01,Sabah,3540274.0,2016
218,2016-01-01,Sarawak,4317939.0,2016
219,2016-01-01,Selangor,250129.0,2016
220,2016-01-01,Terengganu,544883.0,2016
221,2016-01-01,Kuala Lumpur,68.0,2016
222,2016-01-01,Labuan,0.0,2016
223,2016-01-01,Putrajaya,0.0,2016
224,2017-01-01,Johor,332749.0,2017
225,2017-01-01,Kedah,341976.0,2017
226,2017-01-01,Kelantan,613275.0,2017
227,2017-01-01,Melaka,5138.0,2017
228,2017-01-01,Negeri Sembilan,155650.0,2017
229,2017-01-01,Pahang,1558898.0,2017
230,2017-01-01,Perak,995216.0,2017
231,2017-01-01,Perlis,10615.0,2017
232,2017-01-01,Pulau Pinang,5101.0,2017
233,2017-01-01,Sabah,3540749.0,2017
234,2017-01-01,Sarawak,4274825.0,2017
235,2017-01-01,Selangor,250129.0,2017
236,2017-01-01,Terengganu,542411.0,2017
237,2017-01-01,Kuala Lumpur,68.0,2017
238,2017-01-01,Labuan,0.0,2017
239,2017-01-01,Putrajaya,0.0,2017
240,2018-01-01,Johor,332749.0,2018
241,2018-01-01,Kedah,341976.0,2018
