Year,Population_total
2001.0,23526538.0
2002.0,24102477.0
2003.0,24679602.0
2004.0,25256772.0
2005.0,25836071.0
2006.0,26417909.0
2007.0,26998389.0
2008.0,27570059.0
2009.0,28124778.0
2010.0,28655776.0
2011.0,29162039.0
2012.0,29662831.0
2013.0,30174265.0
2014.0,30696137.0
2015.0,31232798.0
2016.0,31789685.0
2017.0,32355644.0
2018.0,32910967.0
2019.0,33440596.0
2020.0,33889558.0
2021.0,34282399.0
2022.0,34695493.0
2023.0,35126298.0
