"iso","alert__year","alert__week","alert__count","confidence__cat"
"MYS",2016,50,1,"h"
"MYS",2017,2,8,"h"
"MYS",2017,4,1,"h"
"MYS",2017,6,2,"h"
"MYS",2017,8,1,"h"
"MYS",2017,10,2,"h"
"MYS",2017,11,6,"h"
"MYS",2017,12,2,"h"
"MYS",2017,17,5,"h"
"MYS",2017,18,3,"h"
"MYS",2017,20,3,"h"
"MYS",2017,22,1,"h"
"MYS",2017,23,1,"h"
"MYS",2017,24,3,"h"
"MYS",2017,25,5,"h"
"MYS",2017,26,4,"h"
"MYS",2017,29,9,"h"
"MYS",2017,30,18,"h"
"MYS",2017,31,26,"h"
"MYS",2017,32,2,"h"
"MYS",2017,34,6,"h"
"MYS",2017,35,1,"h"
"MYS",2017,38,3,"h"
"MYS",2017,39,9,"h"
"MYS",2017,40,3,"h"
"MYS",2017,42,8,"h"
"MYS",2017,43,1,"h"
"MYS",2017,46,2,"h"
"MYS",2017,52,1,"h"
"MYS",2018,3,1,"h"
"MYS",2018,6,3,"h"
"MYS",2018,7,19,"h"
"MYS",2018,10,3,"h"
"MYS",2018,11,1,"h"
"MYS",2018,12,9,"h"
"MYS",2018,13,4,"h"
"MYS",2018,14,12,"h"
"MYS",2018,15,8,"h"
"MYS",2018,16,3,"h"
"MYS",2018,17,6,"h"
"MYS",2018,18,1,"h"
"MYS",2018,19,3,"h"
"MYS",2018,20,4,"h"
"MYS",2018,21,1,"h"
"MYS",2018,22,1,"h"
"MYS",2018,23,7,"h"
"MYS",2018,24,4,"h"
"MYS",2018,25,1,"h"
"MYS",2018,26,1,"h"
"MYS",2018,27,1,"h"
"MYS",2018,28,5,"h"
"MYS",2018,29,47,"h"
"MYS",2018,30,16,"h"
"MYS",2018,31,3,"h"
"MYS",2018,32,27,"h"
"MYS",2018,33,89,"h"
"MYS",2018,34,11,"h"
"MYS",2018,35,13,"h"
"MYS",2018,36,2,"h"
"MYS",2018,38,4,"h"
"MYS",2018,39,10,"h"
"MYS",2018,40,6,"h"
"MYS",2018,41,1,"h"
"MYS",2018,43,2,"h"
"MYS",2018,48,1,"h"
"MYS",2018,50,1,"h"
"MYS",2018,51,2,"h"
"MYS",2019,1,1,"h"
"MYS",2019,3,1,"h"
"MYS",2019,5,1,"h"
"MYS",2019,6,3,"h"
"MYS",2019,7,15,"h"
"MYS",2019,8,13,"h"
"MYS",2019,9,26,"h"
"MYS",2019,10,18,"h"
"MYS",2019,11,83,"h"
"MYS",2019,12,70,"h"
"MYS",2019,13,5,"h"
"MYS",2019,14,9,"h"
"MYS",2019,15,9,"h"
"MYS",2019,16,35,"h"
"MYS",2019,17,3,"h"
"MYS",2019,18,16,"h"
"MYS",2019,19,10,"h"
"MYS",2019,20,2,"h"
"MYS",2019,21,1,"h"
"MYS",2019,22,4,"h"
"MYS",2019,23,1,"h"
"MYS",2019,24,2,"h"
"MYS",2019,26,1,"h"
"MYS",2019,27,1,"h"
"MYS",2019,28,8,"h"
"MYS",2019,29,6,"h"
"MYS",2019,30,4,"h"
"MYS",2019,31,42,"h"
"MYS",2019,32,29,"h"
"MYS",2019,33,5,"h"
"MYS",2019,34,11,"h"
"MYS",2019,35,4,"h"
"MYS",2019,36,36,"h"
"MYS",2019,37,4,"h"
"MYS",2019,38,24,"h"
"MYS",2019,39,7,"h"
"MYS",2019,40,5,"h"
"MYS",2019,41,2,"h"
"MYS",2019,42,3,"h"
"MYS",2019,44,1,"h"
"MYS",2019,45,2,"h"
"MYS",2019,46,4,"h"
"MYS",2019,47,2,"h"
"MYS",2019,50,2,"h"
"MYS",2019,51,2,"h"
"MYS",2019,52,4,"h"
"MYS",2020,1,1,"h"
"MYS",2020,2,2,"h"
"MYS",2020,3,7,"h"
"MYS",2020,4,12,"h"
"MYS",2020,5,3,"h"
"MYS",2020,6,5,"h"
"MYS",2020,7,4,"h"
"MYS",2020,8,6,"h"
"MYS",2020,9,15,"h"
"MYS",2020,10,2,"h"
"MYS",2020,11,15,"h"
"MYS",2020,12,15,"h"
"MYS",2020,13,9,"h"
"MYS",2020,14,14,"h"
"MYS",2020,15,2,"h"
"MYS",2020,16,20,"h"
"MYS",2020,17,8,"h"
"MYS",2020,19,1,"h"
"MYS",2020,20,3,"h"
"MYS",2020,21,1,"h"
"MYS",2020,22,4,"h"
"MYS",2020,24,1,"h"
"MYS",2020,29,6,"h"
