Year,Forest_area_percent
2001.0,59.7077461573581
2002.0,59.4813879166033
2003.0,59.2550296758484
2004.0,59.0286714350936
2005.0,58.8023131943388
2006.0,58.5759549535839
2007.0,58.3495967128291
2008.0,58.1232384720743
2009.0,57.8968802313194
2010.0,57.6705219905646
2011.0,57.9849764115051
2012.0,58.2994308324456
2013.0,58.6138852533861
2014.0,58.9283396743266
2015.0,59.2427940952671
2016.0,58.7875209252777
2017.0,58.6348805356871
2018.0,58.4822401460965
2019.0,58.3295997565059
2020.0,58.1769593669152
2021.0,58.0243189773246
2022.0,57.871678587734
2023.0,57.7190381981434
