Year,Selected Stations,AvgPollution,MeanTemp,State
2015,"seberang jaya, pulau pinang",148.0,28.15,pulau pinang
2016,"bandaraya melaka, melaka",46.0,28.85,melaka
2016,"cheras, kuala lumpur",79.0,29.400000000000002,selangor
2016,"kota kinabalu, sabah",38.0,29.0,sabah
2016,"kuching, sarawak",38.5,28.25,sarawak
2016,"larkin, johor bahru",57.0,28.65,johor
2016,"miri, sarawak",75.5,28.2,sarawak
2016,"seberang jaya, pulau pinang",47.0,28.45,pulau pinang
2017,"bandaraya melaka, melaka",61.0,26.65,melaka
2017,"cheras, kuala lumpur",90.5,28.75,selangor
2017,"kota kinabalu, sabah",68.0,28.200000000000003,sabah
2017,"kuching, sarawak",34.0,28.049999999999997,sarawak
2017,"larkin, johor bahru",59.0,28.05,johor
2017,"miri, sarawak",41.0,27.75,sarawak
2017,"seberang jaya, pulau pinang",122.5,28.45,pulau pinang
2018,"bandaraya melaka, melaka",80.5,28.0,melaka
2018,"cheras, kuala lumpur",78.0,28.65,selangor
2018,"kota kinabalu, sabah",49.5,28.65,sabah
2018,"kuching, sarawak",59.0,28.049999999999997,sarawak
2018,"larkin, johor bahru",53.5,27.9,johor
2018,"miri, sarawak",45.0,27.65,sarawak
2018,"seberang jaya, pulau pinang",76.0,28.650000000000002,pulau pinang
2019,"bandaraya melaka, melaka",121.5,28.5,melaka
2019,"cheras, kuala lumpur",110.0,29.25,selangor
2019,"kota kinabalu, sabah",131.0,28.65,sabah
2019,"kuching, sarawak",145.0,28.3,sarawak
2019,"larkin, johor bahru",98.5,28.35,johor
2019,"miri, sarawak",103.5,27.85,sarawak
2019,"seberang jaya, pulau pinang",109.5,29.1,pulau pinang
2020,"bandaraya melaka, melaka",59.0,28.15,melaka
2020,"cheras, kuala lumpur",78.0,29.3,selangor
2020,"kota kinabalu, sabah",43.0,28.25,sabah
2020,"kuching, sarawak",47.5,28.0,sarawak
2020,"larkin, johor bahru",57.0,28.299999999999997,johor
2020,"miri, sarawak",57.0,27.950000000000003,sarawak
2020,"seberang jaya, pulau pinang",60.0,28.8,pulau pinang
